./mdx_smartypants/spants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',563,27,29,[563],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,4,43,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,4,43,[56],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,62,4,30,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,4,46,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,4,30,[68],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,4,46,[69],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,4,30,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,4,46,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,83,4,46,[83],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,4,46,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
