./lib/pivportal/cli.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,271,33,45,[271],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,8,62,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,12,8,65,[12],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,8,64,[15],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,8,71,[19],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,8,75,[22],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,8,77,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,8,77,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,61,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,8,63,[34],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,8,95,[41],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
