./backoffice/conftest.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'tsttkn',8,11,5,"[8, 9, 10, 11]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./backoffice/tests/test_http.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,4,110,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_http.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,8,72,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_http.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,8,90,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_http.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,8,51,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_http.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,12,47,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,7,4,81,[7],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,4,85,[11],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,4,5,"[20, 21, 22, 23, 24]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,4,58,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,4,5,"[51, 52, 53, 54, 55]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,4,53,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,4,53,[69],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_processors.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,96,4,5,"[96, 97, 98, 99, 100, 101, 102]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_validation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,7,4,14,"[7, 8, 9, 10, 11]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_validation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,8,35,[18],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_validation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,4,14,"[22, 23, 24, 25, 26, 27, 28]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_validation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,4,14,"[32, 33, 34, 35, 36, 37, 38, 39]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./backoffice/tests/test_validation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,50,8,31,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
