./docs/ext/docstrings.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",37,14,58,"[37, 38]",https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./docs/ext/docstrings.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'dummy',50,17,65,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",64,8,16,"[64, 65]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gitlab/config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",69,8,16,"[69, 70]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gitlab/config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",75,8,16,"[75, 76]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gitlab/config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",79,8,16,"[79, 80]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gitlab/config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",89,8,16,"[89, 90]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gitlab/objects.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,690,8,37,[690],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gitlab/tests/test_gitlab.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',51,18,41,"[51, 52, 53]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlab.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',175,18,41,"[175, 176, 177]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlab.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',542,18,41,"[542, 543, 544]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlab.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'newtoken',551,16,26,[551],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./gitlab/tests/test_gitlab.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'credentialpassword',559,19,39,[559],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./gitlab/tests/test_gitlab.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'credauthtoken',590,16,31,[590],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./gitlab/tests/test_gitlabobject.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',150,18,41,"[150, 151, 152]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlabobject.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',307,18,41,"[307, 308, 309]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlabobject.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',327,18,41,"[327, 328, 329]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlabobject.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',369,18,41,"[369, 370, 371]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_gitlabobject.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',428,18,41,"[428, 429, 430]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./gitlab/tests/test_manager.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'private_token',53,22,70,"[53, 54, 55]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./setup.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,12,23,48,[12],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./tools/python_test.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '5iveL!fe',7,11,21,[7],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
