./lib/pivportal/cli.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,198,33,45,[198],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,8,62,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,8,65,[11],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,8,64,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,17,8,71,[17],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,8,75,[20],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,8,77,[23],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,8,77,[26],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,8,61,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,8,63,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,8,95,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,8,94,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,8,94,[53],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
